Frame,Time_sec,Pitch_rad,Yaw_rad,Pitch_deg,Yaw_deg,ScreenX,ScreenY,Distance_cm
0,0.0,-0.02225737,0.117879234,-1.2752533,6.753982,1395,0,124.518425
1,0.03333333333333333,-0.10220733,0.12114188,-5.8560486,6.940918,1813,0,124.518425
2,0.06666666666666667,-0.105233744,0.122842565,-6.029449,7.03836,1829,0,124.518425
3,0.1,-0.10583695,0.12404632,-6.06401,7.1073303,1832,0,124.518425
4,0.13333333333333333,-0.096567824,0.110486574,-5.5329285,6.3304143,1783,0,124.518425
5,0.16666666666666666,-0.11892213,0.11323362,-6.813736,6.487808,1901,0,124.518425
6,0.2,-0.12903015,0.108521156,-7.392883,6.217804,1954,0,124.518425
7,0.23333333333333334,-0.121907264,0.110751286,-6.9847713,6.345581,1917,0,124.518425
8,0.26666666666666666,-0.13847665,0.10475784,-7.9341273,6.0021815,2004,0,124.518425
9,0.3,-0.075217254,0.11519158,-4.309631,6.599991,1671,0,124.518425
10,0.3333333333333333,-0.09302049,0.092575744,-5.3296814,5.304199,1765,0,124.518425
11,0.36666666666666664,-0.023554863,0.069891736,-1.3495942,4.0045013,1402,173,124.518425
12,0.4,-0.016616793,0.083894104,-0.9520721,4.806778,1366,66,124.518425
13,0.43333333333333335,-0.02650964,0.08479958,-1.5188905,4.858658,1417,54,124.518425
14,0.4666666666666667,-0.0011161309,0.072564214,-0.063949585,4.157623,1285,160,124.518425
15,0.5,0.01922243,0.08456309,1.1013641,4.845108,1180,75,124.518425
16,0.5333333333333333,0.035404064,0.07962053,2.0285034,4.56192,1095,119,124.518425
17,0.5666666666666667,0.026909113,0.08402646,1.5417786,4.8143616,1140,82,124.518425
18,0.6,0.040009733,0.08693837,2.2923887,4.981201,1071,66,124.518425
19,0.6333333333333333,0.03520566,0.085004374,2.0171356,4.870392,1096,78,124.518425
20,0.6666666666666666,0.04829856,0.08629707,2.7673035,4.9444575,1028,74,124.518425
21,0.7,0.041178863,0.08258809,2.359375,4.731949,1065,99,124.518425
22,0.7333333333333333,0.031842086,0.078059115,1.8244171,4.4724574,1114,130,124.518425
23,0.7666666666666667,0.05393434,0.07492165,3.09021,4.292694,999,162,124.518425
24,0.8,-0.0025955169,0.07904289,-0.14871216,4.528824,1293,109,124.518425
25,0.8333333333333334,-0.0054195332,0.07549529,-0.31051636,4.325561,1308,135,124.518425
