Frame,Time,Pitch(rad),Yaw(rad),Pitch(deg),Yaw(deg),ScreenX,ScreenY,Distance(cm)
79,3.95,0.13933073,-0.017899107,7.9830623,-1.0255432,471,817,138.05728
80,4.0,0.12116398,-0.021766283,6.9421844,-1.2471161,577,838,138.05728
81,4.05,0.13178626,-0.037546042,7.550796,-2.1512296,515,924,138.05728
82,4.1,0.1371885,-0.035751607,7.8603215,-2.0484161,484,914,138.05728
83,4.15,0.13333729,-0.039535426,7.6396637,-2.265213,506,934,138.05728
84,4.2,0.14620435,-0.03310629,8.376892,-1.8968506,430,899,138.05728
85,4.25,0.1459652,-0.02802178,8.36319,-1.6055297,432,872,138.05728
86,4.3,0.13782898,-0.041279532,7.897018,-2.3651428,480,944,138.05728
87,4.35,0.14049587,-0.05135853,8.04982,-2.9426267,464,999,138.05728
88,4.4,0.14360592,-0.05270689,8.228012,-3.0198822,446,1006,138.05728
89,4.45,0.1363757,-0.051300738,7.813751,-2.9393156,488,998,138.05728
90,4.5,0.14151612,-0.05419746,8.108276,-3.1052856,458,1014,138.05728
91,4.55,0.14641687,-0.055779114,8.389069,-3.1959076,429,1023,138.05728
92,4.6,0.12959023,-0.005952698,7.4249725,-0.34106445,528,752,138.05728
93,4.65,0.14534894,-0.04658961,8.32788,-2.6693878,436,973,138.05728
94,4.7,0.13690965,-0.021823807,7.8443446,-1.250412,485,838,138.05728
95,4.75,0.13394901,-0.029922213,7.6747127,-1.7144165,503,882,138.05728
96,4.8,0.13927108,-0.084479734,7.979645,-4.840332,514,1155,130.68416
97,4.85,0.1334739,-0.026559172,7.647491,-1.5217284,547,856,130.68416
98,4.9,0.1447295,-0.07730811,8.292389,-4.429428,439,1140,138.05728
99,4.95,0.12380078,-0.07406544,7.0932617,-4.243637,561,1123,138.24837
100,5.0,0.14322162,-0.0773683,8.205994,-4.4328766,447,1141,138.24837
101,5.05,0.14718066,-0.077021286,8.43283,-4.4129944,424,1139,138.24837
102,5.1,0.13912807,-0.07913477,7.971451,-4.534088,471,1151,138.24837
103,5.15,0.14460193,-0.08771707,8.28508,-5.025818,439,1198,138.24837
104,5.2,0.13753709,-0.106324576,7.8802943,-6.091949,521,1270,131.17209
105,5.25,0.15289368,-0.08711014,8.760162,-4.991043,435,1170,131.17209
106,5.3,0.15898593,-0.09542347,9.109222,-5.4673615,354,1240,138.24837
107,5.35,0.15235625,-0.07684818,8.72937,-4.403076,393,1138,138.24837
108,5.4,0.1329293,-0.08377133,7.616287,-4.7997437,507,1176,138.24837
109,5.45,0.11752796,-0.080623746,6.7338557,-4.6194,598,1159,138.24837
110,5.5,0.11556894,-0.094054066,6.6216125,-5.3889008,609,1233,138.24837
111,5.55,0.11709494,-0.0833375,6.7090454,-4.7748866,600,1174,138.24837
112,5.6,0.15904611,-0.08594234,9.112671,-4.9241333,353,1188,138.24837
113,5.65,0.15623808,-0.100971356,8.951782,-5.785232,371,1270,138.05728
114,5.7,0.150324,-0.104288325,8.61293,-5.975281,406,1288,138.05728
115,5.75,0.15160099,-0.09720431,8.686096,-5.5693965,397,1250,138.24837
116,5.8,0.14721316,-0.11063437,8.434692,-6.3388824,423,1324,138.24837
117,5.85,0.15555604,-0.11219099,8.9127035,-6.42807,374,1332,138.24837
118,5.9,0.15728736,-0.112089254,9.011901,-6.4222407,364,1332,138.24837
119,5.95,0.151495,-0.118687235,8.680023,-6.800277,398,1368,138.24837
120,6.0,0.14703153,-0.0836656,8.424286,-4.7936854,471,1151,130.68416
121,6.05,0.1545784,-0.10234768,8.856689,-5.86409,381,1277,138.05728
122,6.1,0.16920927,-0.102693886,9.694977,-5.883926,295,1279,138.05728
123,6.15,0.16475886,-0.09642295,9.439987,-5.5246277,321,1245,138.05728
124,6.2,0.15754943,-0.09682934,9.0269165,-5.547912,364,1247,138.05728
125,6.25,0.1503802,-0.09437205,8.61615,-5.4071198,406,1234,138.05728
126,6.3,0.15027712,-0.100626215,8.610245,-5.765457,406,1268,138.05728
127,6.35,0.14604722,-0.10654482,8.367888,-6.1045685,431,1300,138.05728
128,6.4,0.15583062,-0.110075906,8.928436,-6.3068843,374,1320,138.05728
129,6.45,0.14803074,-0.11608613,8.481536,-6.651245,372,1388,145.70416
130,6.5,0.14150122,-0.110914804,8.107422,-6.35495,413,1358,145.70416
131,6.55,0.15195172,-0.11054729,8.706191,-6.333893,348,1356,145.70416
132,6.6,0.14030091,-0.085363634,8.03865,-4.8909755,465,1184,138.05728
133,6.65,0.15731,-0.091566406,9.013198,-5.2463684,365,1218,138.05728
134,6.7,0.11084024,-0.07067098,6.3506775,-4.0491486,638,1104,138.05728
135,6.75,0.15412353,-0.0874662,8.830627,-5.011444,384,1196,138.05728
136,6.8,0.15655233,-0.085212104,8.969788,-4.8822937,369,1183,138.05728
137,6.85,0.16623612,-0.095632784,9.524628,-5.4793544,312,1241,138.05728
138,6.9,0.18264307,-0.105251856,10.464677,-6.0304866,215,1293,138.05728
139,6.95,0.18268274,-0.09975403,10.466949,-5.7154846,214,1263,138.05728
140,7.0,0.14625175,-0.09682801,8.379608,-5.5478363,430,1247,138.05728
141,7.05,0.13331039,-0.08960925,7.6381226,-5.1342316,506,1208,138.05728
142,7.1,0.13457593,-0.08240353,7.710633,-4.7213745,499,1168,138.05728
143,7.15,0.13666864,-0.09074748,7.830536,-5.1994476,487,1214,138.05728
144,7.2,0.15830469,-0.12366521,9.07019,-7.0854945,359,1395,138.05728
145,7.25,0.14968404,-0.11168365,8.576263,-6.3990016,410,1329,138.05728
146,7.3,0.15001614,-0.120961584,8.595291,-6.930588,408,1380,138.05728
147,7.35,0.15263109,-0.1157053,8.745117,-6.6294246,393,1351,138.05728
148,7.4,0.16199103,-0.11797431,9.281402,-6.75943,337,1363,138.05728
149,7.45,0.1606893,-0.12921871,9.206818,-7.4036865,345,1425,138.05728
150,7.5,0.17274861,-0.1200095,9.897766,-6.876037,273,1375,138.05728
151,7.55,0.1418855,-0.11267622,8.12944,-6.4558716,456,1334,138.05728
152,7.6,0.12409932,-0.11878897,7.110367,-6.8061066,560,1368,138.05728
153,7.65,0.13445474,-0.1207432,7.7036886,-6.9180756,500,1379,138.05728
154,7.7,0.13609925,-0.10095165,7.797912,-5.784103,490,1270,138.05728
155,7.75,0.12687513,-0.12323113,7.269409,-7.060623,544,1392,138.05728
156,7.8,0.13328749,-0.10519886,7.6368103,-6.0274506,545,1264,131.17209
157,7.85,0.12980515,-0.10317459,7.437287,-5.911468,564,1254,131.17209
158,7.9,0.13358416,-0.13809477,7.653808,-7.9122467,543,1437,131.17209
159,7.95,0.15815714,-0.11927952,9.061736,-6.834213,406,1338,131.17209
160,8.0,0.1784254,-0.111063674,10.2230215,-6.3634796,292,1295,131.17209
161,8.05,0.17293876,-0.12162071,9.908661,-6.968353,323,1350,131.17209
162,8.1,0.17133102,-0.12642744,9.816544,-7.243758,332,1375,131.17209
163,8.15,0.15322924,-0.11354308,8.779388,-6.505539,433,1308,131.17209
164,8.2,0.15259913,-0.12018819,8.743285,-6.886276,437,1343,131.17209
165,8.25,0.14994982,-0.12187238,8.591492,-6.982773,452,1352,131.17209
166,8.3,0.14740197,-0.11893545,8.445511,-6.814499,466,1336,131.17209
167,8.35,0.13596717,-0.11039842,7.790344,-6.325363,530,1292,131.17209
168,8.4,0.12508655,-0.10130586,7.1669307,-5.8043976,513,1303,145.92883
169,8.45,0.12495979,-0.10897815,7.159668,-6.243988,514,1348,145.92883
170,8.5,0.12376642,-0.103621736,7.0912933,-5.937088,521,1317,145.92883
171,8.55,0.13231118,-0.1007852,7.5808716,-5.7745667,468,1300,145.92883
172,8.6,0.12736835,-0.09467698,7.2976685,-5.424591,499,1265,145.92883
173,8.65,0.12088888,-0.12957157,6.926422,-7.423904,539,1439,145.92883
174,8.7,0.14050493,-0.11994186,8.050339,-6.872162,463,1375,138.24837
175,8.75,0.101807594,-0.12424286,5.833145,-7.118591,690,1399,138.24837
176,8.8,0.107958436,-0.13230292,6.1855626,-7.580399,654,1439,138.24837
177,8.85,0.11218221,-0.14402908,6.4275665,-8.252258,629,1439,138.24837
178,8.9,0.12066996,-0.13797864,6.913879,-7.9055934,579,1439,138.24837
179,8.95,0.07981015,-0.14178671,4.5727844,-8.123779,818,1439,138.24837
