Frame,Time_sec,Pitch_rad,Yaw_rad,Pitch_deg,Yaw_deg,ScreenX,ScreenY,Distance_cm
0,0.0,0.010778346,-0.1709382,0.6175537,-9.794037,1217,1439,138.05728
1,0.03333333333333333,-0.0004609932,-0.16637646,-0.026412964,-9.532668,1282,1439,138.24837
2,0.06666666666666667,0.008643555,-0.122705154,0.49523923,-7.030487,1230,1390,138.24837
3,0.1,-0.008560998,-0.1657847,-0.49050903,-9.498763,1332,1439,145.92883
4,0.13333333333333333,0.030561106,-0.16720949,1.7510223,-9.580398,1103,1439,138.05728
5,0.16666666666666666,0.045341652,-0.16277774,2.5978851,-9.326477,1018,1439,138.05728
6,0.2,0.009867812,-0.14887232,0.5653839,-8.529755,1223,1439,138.05728
7,0.23333333333333334,0.031669248,-0.14397955,1.8145142,-8.24942,1097,1439,138.05728
8,0.26666666666666666,0.04686125,-0.089714445,2.6849518,-5.140259,1009,1208,138.05728
9,0.3,0.09271423,-0.07565215,5.312134,-4.334549,743,1131,138.05728
10,0.3333333333333333,0.07990682,-0.081346795,4.5783234,-4.6608276,818,1162,138.05728
11,0.36666666666666664,0.08544087,-0.090397276,4.895401,-5.1793823,785,1213,138.24837
12,0.4,0.081181675,-0.09907652,4.651367,-5.676666,810,1259,138.05728
13,0.43333333333333335,0.07175755,-0.11796499,4.1114044,-6.758896,865,1363,138.05728
14,0.4666666666666667,0.06805229,-0.13163447,3.899109,-7.5420995,887,1439,138.05728
15,0.5,0.05549735,-0.13256417,3.1797636,-7.595367,959,1439,138.05728
16,0.5333333333333333,0.05276734,-0.13161422,3.0233457,-7.5409393,958,1439,145.70416
17,0.5666666666666667,0.056827597,-0.11051027,3.2559812,-6.3317714,951,1323,138.24837
18,0.6,0.05944602,-0.12438614,3.4060059,-7.1268005,936,1400,138.24837
19,0.6333333333333333,0.06399177,-0.1007141,3.6664581,-5.7704926,910,1268,138.05728
20,0.6666666666666666,0.05764359,-0.10855551,3.3027341,-6.2197723,947,1311,138.05728
21,0.7,0.08563155,-0.10347952,4.9063263,-5.9289393,785,1284,138.05728
22,0.7333333333333333,0.042849995,-0.10546305,2.4551237,-6.0425873,1045,1266,131.17209
23,0.7666666666666667,0.04781706,-0.107695304,2.7397156,-6.170486,1004,1307,138.05728
24,0.8,0.040004943,-0.09435313,2.2921143,-5.406036,1049,1234,138.05728
25,0.8333333333333334,0.057408433,-0.0847306,3.2892609,-4.854706,948,1181,138.05728
26,0.8666666666666667,0.06124232,-0.10368645,3.5089262,-5.940796,926,1285,138.05728
27,0.9,0.054312773,-0.08813758,3.1118925,-5.049911,982,1176,131.17209
28,0.9333333333333333,0.05501638,-0.080865555,3.1522062,-4.6332545,978,1138,131.17209
29,0.9666666666666667,0.07102278,-0.1035927,4.0693054,-5.9354243,869,1284,138.05728
30,1.0,0.056502957,-0.11611037,3.2373807,-6.6526337,953,1353,138.05728
31,1.0333333333333334,0.08041602,-0.073723756,4.607498,-4.22406,815,1121,138.05728
32,1.0666666666666667,0.054776166,-0.049234394,3.138443,-2.8209229,963,987,138.05728
33,1.1,0.07089948,-0.050395,4.0622406,-2.8874207,870,993,138.05728
34,1.1333333333333333,0.08299742,-0.04434323,4.7554016,-2.5406797,800,961,138.05728
35,1.1666666666666667,0.09081645,-0.04589106,5.203399,-2.629364,754,969,138.05728
36,1.2,0.05937012,-0.12764744,3.401657,-7.3136597,937,1417,138.05728
37,1.2333333333333334,0.058765847,-0.12427322,3.367035,-7.1203303,940,1398,138.05728
38,1.2666666666666666,0.060157616,-0.12153949,3.4467773,-6.9636993,932,1383,138.05728
39,1.3,0.06664401,-0.125,3.8184204,-7.161972,895,1402,138.05728
