Frame,Time,Pitch(rad),Yaw(rad),Pitch(deg),Yaw(deg),ScreenX,ScreenY,Distance(cm)
78,3.9,0.020621922,0.0040794304,1.1815491,0.23373413,1161,697,137.48875
79,3.95,0.016630111,0.003096724,0.95283514,0.1774292,1184,703,137.48875
80,4.0,0.010009225,0.017011208,0.5734863,0.9746704,1222,627,137.48875
81,4.05,-0.05794053,-0.043543216,-3.3197477,-2.4948423,1613,955,137.48875
82,4.1,-0.06796254,-0.053786002,-3.8939667,-3.0817108,1649,995,129.88289
83,4.15,-0.07516319,-0.053962033,-4.3065333,-3.0917966,1736,1028,145.03629
84,4.2,-0.08836954,-0.07910175,-5.0632014,-4.532196,1785,1145,136.55663
85,4.25,-0.110765666,-0.099270396,-6.346405,-5.687774,1914,1255,136.55663
86,4.3,-0.08718763,-0.08364882,-4.995483,-4.792724,1778,1170,136.55663
87,4.35,-0.086329564,-0.085162565,-4.9463196,-4.879455,1773,1178,136.55663
88,4.4,0.0013009543,-0.025859294,0.074539185,-1.4816283,1272,858,136.55663
89,4.45,0.0033057819,-0.034767035,0.18940733,-1.9920043,1259,918,145.03629
90,4.5,0.006219014,-0.023786023,0.35632324,-1.3628386,1242,855,145.03629
91,4.55,0.009983126,-0.018789668,0.57199097,-1.0765686,1219,827,145.03629
92,4.6,0.014167751,-0.020126574,0.8117523,-1.1531677,1194,834,145.03629
93,4.65,0.013503824,0.0022863238,0.7737121,0.1309967,1198,706,145.03629
94,4.7,0.013579459,0.0059862533,0.77804565,0.34298703,1197,685,145.03629
95,4.75,0.0150418,-0.02811526,0.8618316,-1.6108856,1188,880,145.03629
96,4.8,-0.044288103,-0.039513856,-2.5375211,-2.263977,1548,945,145.03629
97,4.85,-0.09814947,-0.07394746,-5.62355,-4.236877,1876,1142,145.03629
98,4.9,-0.0988941,-0.072424665,-5.666214,-4.149627,1880,1134,145.03629
99,4.95,-0.093449526,-0.07682048,-5.3542633,-4.401489,1847,1159,145.03629
100,5.0,-0.11470341,-0.06947309,-6.572021,-3.9805145,1981,1118,145.70416
101,5.05,-0.11108577,-0.07061665,-6.3647456,-4.046036,1958,1125,145.70416
102,5.1,-0.033937193,-0.04170617,-1.9444579,-2.3895874,1486,959,145.70416
103,5.15,-0.007228618,0.0087040095,-0.41416928,0.49870297,1323,670,145.70416
104,5.2,0.0010524812,-0.021663751,0.06030273,-1.2412415,1273,844,145.70416
105,5.25,0.004255199,0.005223258,0.24380492,0.29927063,1254,690,145.70416
106,5.3,0.016313726,0.016317189,0.9347076,0.934906,1180,626,145.70416
107,5.35,0.017592043,0.013796241,1.0079497,0.79046637,1178,645,138.05728
108,5.4,0.011335479,-0.004179299,0.6494751,-0.23945618,1214,742,138.05728
109,5.45,0.011294999,-0.005759885,0.64715576,-0.3300171,1214,751,138.05728
110,5.5,0.0145105,-0.0054107443,0.8313904,-0.3100128,1196,749,138.05728
111,5.55,0.032598693,-0.00019600865,1.8677675,-0.011230468,1091,721,138.05728
112,5.6,0.01265907,-0.0017920411,0.7253112,-0.102676384,1207,729,137.48875
113,5.65,0.007866446,0.003161971,0.45071414,0.18116759,1234,702,137.48875
114,5.7,0.0028075045,0.0046070027,0.16085815,0.2639618,1263,695,137.48875
115,5.75,0.0022618228,0.0026791403,0.1295929,0.15350342,1267,705,137.48875
116,5.8,0.008091483,0.015629826,0.46360782,0.895523,1233,635,137.48875
117,5.85,0.011519237,0.01784318,0.66000366,1.0223389,1213,623,137.48875
118,5.9,0.0008793758,0.0039694416,0.050384518,0.22743224,1274,698,137.48875
119,5.95,0.009897639,-0.0044006077,0.5670929,-0.25213623,1223,743,137.48875
120,6.0,0.00029108353,-0.00024527716,0.016677856,-0.014053346,1278,721,137.48875
121,6.05,-0.008378837,-0.006820089,-0.480072,-0.3907623,1328,756,137.48875
122,6.1,-0.015239673,-0.0037763626,-0.8731689,-0.21636963,1367,740,137.48875
123,6.15,-0.0097461045,0.020162793,-0.55841064,1.1552429,1335,610,137.48875
124,6.2,-0.0051201936,0.016236495,-0.29336548,0.9302826,1309,632,137.48875
125,6.25,-0.0018881813,0.01794944,-0.108184814,1.0284271,1290,622,137.48875
126,6.3,-0.013165072,0.019174494,-0.754303,1.0986176,1355,616,137.48875
127,6.35,-0.003952664,0.010886471,-0.22647095,0.6237488,1304,657,145.70416
128,6.4,-0.0054293866,0.013194899,-0.31108093,0.75601196,1313,644,145.70416
129,6.45,-0.010554906,-0.03371136,-0.6047515,-1.9315184,1340,903,138.05728
130,6.5,-0.0050272495,0.012051071,-0.28804016,0.69047546,1310,650,145.70416
131,6.55,-0.0044930195,0.013178653,-0.25743103,0.7550812,1307,644,145.70416
132,6.6,-0.01227158,0.016264992,-0.70310974,0.93191534,1354,626,145.70416
133,6.65,-0.010518155,0.017860757,-0.6026459,1.023346,1344,617,145.70416
134,6.7,-0.0034498589,0.0042333608,-0.19766234,0.2425537,1300,695,145.70416
135,6.75,-0.017738251,0.0030519827,-1.0163269,0.17486572,1381,703,137.48875
136,6.8,-0.0020381173,-0.007285344,-0.11677551,-0.41741943,1291,759,137.48875
137,6.85,-0.005922338,-0.008367652,-0.33932495,-0.47943112,1314,765,137.48875
138,6.9,-0.016663132,0.0038394795,-0.9547271,0.21998596,1375,699,137.48875
139,6.95,-0.010546651,-0.016445553,-0.60427856,-0.94226074,1340,808,137.48875
140,7.0,0.0025995115,-0.03390151,0.14894103,-1.9424133,1265,903,137.48875
141,7.05,0.0022184132,-0.022485603,0.1271057,-1.2883301,1267,841,137.48875
142,7.1,0.004057326,-0.026223881,0.23246764,-1.5025176,1256,862,138.05728
143,7.15,-0.0025134915,-0.030083869,-0.14401245,-1.7236786,1295,891,145.03629
144,7.2,-0.014587466,-0.028646559,-0.8358002,-1.6413268,1364,875,138.05728
145,7.25,-0.020959878,-0.0155416755,-1.2009125,-0.89047235,1400,804,138.05728
146,7.3,-0.013827932,-0.016100407,-0.7922821,-0.9224853,1364,812,145.70416
147,7.35,-0.01021349,0.0031124363,-0.5851898,0.17832945,1342,702,145.70416
148,7.4,-0.018040255,-0.010764764,-1.0336304,-0.6167755,1384,778,138.24837
149,7.45,-0.019089807,-0.00995463,-1.0937653,-0.5703583,1396,777,145.70416
150,7.5,-0.01814971,-0.002596582,-1.0399017,-0.14877318,1390,734,145.70416
