Frame,Time,GameX,GameY,Speed_X,Speed_Y
1,0.0,644.0,339.0,4,4
2,0.09,648.0,343.0,4,4
3,0.14,652.0,347.0,4,4
4,0.17,656.0,351.0,4,4
5,0.21,660.0,355.0,4,4
6,0.24,664.0,359.0,4,4
7,0.28,668.0,363.0,4,4
8,0.31,672.0,367.0,4,4
9,0.34,676.0,371.0,4,4
10,0.38,680.0,375.0,4,4
11,0.41,684.0,379.0,4,4
12,0.44,688.0,383.0,4,4
13,0.48,692.0,387.0,4,4
14,0.51,696.0,391.0,4,4
15,0.55,700.0,395.0,4,4
16,0.58,704.0,399.0,4,4
17,0.61,708.0,403.0,4,4
18,0.65,712.0,407.0,4,4
19,0.68,716.0,411.0,4,4
20,0.71,720.0,415.0,4,4
21,0.75,724.0,419.0,4,4
22,0.78,728.0,423.0,4,4
23,0.81,732.0,427.0,4,4
24,0.85,736.0,431.0,4,4
25,0.88,740.0,435.0,4,4
26,0.92,744.0,439.0,4,4
27,0.95,748.0,443.0,4,4
28,0.98,752.0,447.0,4,4
29,1.01,756.0,451.0,4,4
30,1.05,760.0,455.0,4,4
31,1.08,764.0,459.0,4,4
32,1.12,768.0,463.0,4,4
33,1.15,772.0,467.0,4,4
34,1.18,776.0,471.0,4,4
35,1.22,780.0,475.0,4,4
36,1.25,784.0,479.0,4,4
37,1.28,788.0,483.0,4,4
38,1.31,792.0,487.0,4,4
39,1.35,796.0,491.0,4,4
40,1.38,800.0,495.0,4,4
41,1.41,804.0,499.0,4,4
42,1.45,808.0,503.0,4,4
43,1.48,812.0,507.0,4,4
44,1.51,816.0,511.0,4,4
45,1.55,820.0,515.0,4,4
46,1.58,824.0,519.0,4,4
47,1.61,828.0,523.0,4,4
48,1.65,832.0,527.0,4,4
49,1.68,836.0,531.0,4,4
50,1.71,840.0,535.0,4,4
51,1.75,844.0,539.0,4,4
52,1.78,848.0,543.0,4,4
53,1.81,852.0,547.0,4,4
54,1.85,856.0,551.0,4,4
55,1.88,860.0,555.0,4,4
56,1.91,864.0,559.0,4,4
57,1.95,868.0,563.0,4,4
58,1.98,872.0,567.0,4,4
59,2.02,876.0,571.0,4,4
60,2.05,880.0,575.0,4,4
61,2.08,884.0,579.0,4,4
62,2.12,888.0,583.0,4,4
63,2.15,892.0,587.0,4,4
64,2.18,896.0,591.0,4,4
65,2.22,900.0,595.0,4,4
66,2.25,904.0,599.0,4,4
67,2.28,908.0,603.0,4,4
68,2.32,912.0,607.0,4,4
69,2.35,916.0,611.0,4,4
70,2.38,920.0,615.0,4,4
71,2.42,924.0,619.0,4,4
72,2.45,928.0,623.0,4,4
73,2.49,932.0,627.0,4,4
74,2.52,936.0,631.0,4,4
75,2.55,940.0,635.0,4,4
76,2.59,944.0,639.0,4,4
77,2.62,948.0,643.0,4,4
78,2.65,952.0,647.0,4,4
79,2.69,956.0,651.0,4,4
80,2.72,960.0,655.0,4,4
81,2.76,964.0,659.0,4,4
82,2.79,968.0,663.0,4,4
83,2.82,972.0,667.0,4,4
84,2.86,976.0,671.0,4,4
85,2.89,980.0,675.0,4,4
86,2.93,984.0,679.0,4,4
