Frame,Time (s),Pitch (rad),Yaw (rad),Pitch (deg),Yaw (deg),Screen X (px),Screen Y (px),Distance (cm)
80,4.0,0.07874968,0.039013445,4.512024,2.2353055,825,507,138.05728
81,4.05,0.08063706,0.041971955,4.620163,2.4048157,814,491,138.05728
82,4.1,0.084000364,0.04176822,4.812866,2.3931425,794,492,138.05728
83,4.15,0.07537385,0.046032205,4.3186035,2.637451,844,469,138.05728
84,4.2,0.0732625,0.024028905,4.197632,1.3767548,856,589,138.05728
85,4.25,0.07670543,0.024861142,4.3948975,1.4244385,836,584,138.05728
86,4.3,0.09138478,0.031615984,5.235962,1.8114623,751,548,138.05728
87,4.35,0.083992906,0.039258722,4.812439,2.249359,794,506,138.05728
88,4.4,0.06242849,0.043455865,3.5768888,2.4898376,919,483,138.05728
89,4.45,0.049685802,0.037193973,2.8467865,2.1310575,1008,528,130.68416
90,4.5,0.07782902,0.03341708,4.459274,1.9146575,830,538,138.05728
91,4.55,0.07320764,0.032311335,4.1944885,1.851303,857,544,138.05728
92,4.6,0.03191186,0.02541215,1.8284149,1.4560088,1095,581,138.05728
93,4.65,0.06008784,0.016608272,3.4427795,0.9515838,933,629,138.05728
94,4.7,0.034768634,0.02419615,1.9920958,1.3863372,1079,588,138.05728
95,4.75,0.036714338,0.022441927,2.1035764,1.2858276,1068,598,138.05728
96,4.8,0.06818066,0.01416349,3.9064636,0.8115082,886,643,138.05728
97,4.85,0.08957436,0.010698451,5.1322327,0.612976,762,661,138.05728
98,4.9,0.06754522,0.03192864,3.870056,1.8293762,868,536,145.70416
99,4.95,0.07394693,0.026287265,4.236847,1.5061493,829,569,145.70416
100,5.0,0.08198861,0.042190064,4.6976013,2.4173124,779,477,145.70416
101,5.05,0.057645187,0.035546012,3.3028257,2.0366364,928,516,145.70416
102,5.1,0.060393836,0.036750827,3.4603117,2.105667,912,509,145.70416
103,5.15,0.057976484,0.04042945,3.3218076,2.3164368,926,488,145.70416
104,5.2,0.05581666,0.03950613,3.1980588,2.2635343,940,493,145.70416
105,5.25,0.047424242,0.0395791,2.7172089,2.2677152,991,492,145.70416
106,5.3,0.05083389,0.03458594,2.9125671,1.9816284,970,521,145.70416
107,5.35,0.056230254,0.035827775,3.221756,2.0527802,937,514,145.70416
108,5.4,0.0967396,0.015107314,5.5427704,0.86558527,720,637,138.05728
109,5.45,0.0905323,0.015758457,5.1871185,0.902893,756,634,138.05728
110,5.5,0.092053495,0.020947361,5.2742763,1.2001953,747,606,138.05728
111,5.55,0.09073177,0.011294201,5.1985474,0.64711004,755,658,138.05728
112,5.6,0.061287858,0.04492593,3.5115354,2.5740662,927,476,137.48875
113,5.65,0.052360944,0.04617229,3.000061,2.6454773,979,470,137.48875
114,5.7,0.0444937,0.05180221,2.5493011,2.9680479,1024,439,137.48875
