Frame,Time (s),Pitch (rad),Yaw (rad),Pitch (deg),Yaw (deg),Screen X (px),Screen Y (px),Distance (cm)
334,16.7,-0.10221665,-0.015929699,-5.8565826,-0.91270447,1904,811,145.70416
335,16.75,-0.09545942,-0.0046485476,-5.4694214,-0.26634213,1862,746,145.70416
336,16.8,-0.100746326,-0.0062709455,-5.772339,-0.3592987,1862,754,138.05728
337,16.85,-0.12620987,0.015618907,-7.2312922,0.8948974,2011,635,138.05728
338,16.9,-0.09910528,-0.012800484,-5.678314,-0.7334137,1853,789,138.05728
339,16.95,-0.09023909,-0.013667344,-5.170319,-0.7830811,1801,794,138.05728
340,17.0,-0.091937646,-0.016306004,-5.2676387,-0.93426514,1811,808,138.05728
341,17.05,-0.09463436,-0.025173264,-5.422149,-1.4423217,1827,856,138.05728
342,17.1,-0.09218479,-0.029194638,-5.2817993,-1.6727295,1813,878,138.05728
343,17.15,-0.09831034,-0.039346874,-5.632767,-2.2544098,1848,933,138.05728
344,17.2,-0.10145446,-0.02922047,-5.812912,-1.6742095,1866,878,138.05728
345,17.25,-0.11259819,-0.0297555,-6.4514008,-1.7048644,1931,881,138.05728
346,17.3,-0.1057259,-0.018098576,-6.0576477,-1.0369719,1891,818,138.05728
347,17.35,-0.10607664,-0.019952936,-6.0777435,-1.143219,1893,828,138.05728
348,17.4,-0.09024708,-0.014019678,-5.1707764,-0.8032684,1801,796,138.05728
349,17.45,-0.09880674,-0.017452229,-5.6612086,-0.999939,1851,814,138.05728
350,17.5,-0.097182475,-0.0135208685,-5.5681453,-0.77468866,1842,793,138.05728
351,17.55,-0.0888348,-0.017118268,-5.089859,-0.98080444,1793,812,138.05728
352,17.6,-0.09377176,-0.01969754,-5.372726,-1.1285858,1822,827,138.05728
353,17.65,-0.10035111,-0.018852783,-5.749695,-1.0801848,1860,822,138.05728
354,17.7,-0.092956044,-0.027119504,-5.325989,-1.553833,1817,867,138.05728
355,17.75,-0.09076399,-0.028680116,-5.2003937,-1.6432495,1804,875,138.05728
356,17.8,-0.08981085,-0.023729034,-5.1457825,-1.3595734,1799,848,138.05728
357,17.85,-0.09243007,-0.015587216,-5.2958527,-0.89308167,1814,804,138.05728
358,17.9,-0.0999788,-0.010173542,-5.728363,-0.582901,1858,775,138.05728
359,17.95,-0.10275648,-0.007874435,-5.887512,-0.45117185,1874,762,138.05728
360,18.0,-0.07882318,-0.04286651,-4.5162354,-2.45607,1735,952,138.05728
361,18.05,-0.084243506,-0.041629735,-4.826797,-2.385208,1766,946,138.05728
362,18.1,-0.0813894,-0.042432413,-4.6632686,-2.4311981,1750,950,138.05728
363,18.15,-0.08586564,-0.031928904,-4.9197383,-1.8293914,1776,893,138.05728
364,18.2,-0.08753438,-0.02609818,-5.0153503,-1.4953156,1785,861,138.05728
365,18.25,-0.084340714,-0.032706816,-4.8323665,-1.8739624,1767,897,138.05728
366,18.3,-0.08908008,-0.01812068,-5.1039124,-1.0382384,1794,818,138.05728
367,18.35,-0.09648366,-0.017685255,-5.528106,-1.0132904,1838,816,138.05728
368,18.4,-0.10415223,-0.022754846,-5.967483,-1.3037566,1882,843,138.05728
369,18.45,-0.10786574,-0.014645522,-6.1802516,-0.8391266,1904,799,138.05728
370,18.5,-0.11344028,-0.008969793,-6.499649,-0.5139313,1936,768,138.05728
371,18.55,-0.12899049,0.031790953,-7.39061,1.8214873,2027,547,138.05728
372,18.6,-0.117727965,0.034055173,-6.745315,1.9512177,1961,534,138.05728
373,18.65,-0.11926382,0.03989096,-6.833313,2.2855835,1970,503,138.05728
374,18.7,-0.113459185,0.03637612,-6.500732,2.084198,1936,522,138.05728
375,18.75,-0.116733275,0.042207107,-6.6883235,2.418289,1956,490,138.05728
376,18.8,-0.104886465,0.040839575,-6.0095515,2.339935,1886,498,138.05728
377,18.85,-0.09880354,0.03859533,-5.6610255,2.2113495,1851,510,138.05728
378,18.9,-0.09174058,0.036106072,-5.2563477,2.0687253,1810,523,138.05728
379,18.95,-0.099041365,0.027985297,-5.674652,1.6034393,1852,567,138.05728
380,19.0,-0.10151304,0.027668381,-5.8162684,1.5852814,1867,569,138.05728
381,19.05,-0.11499104,-0.031320374,-6.588501,-1.7945251,1945,890,138.05728
382,19.1,-0.105514705,-0.0106017785,-6.045547,-0.60743713,1890,777,138.05728
383,19.15,-0.10238656,0.013432452,-5.8663173,0.7696228,1872,647,138.05728
384,19.2,-0.081715375,-0.007638745,-4.681946,-0.43766782,1752,761,138.05728
385,19.25,-0.08415509,-0.007990016,-4.821731,-0.45779416,1766,763,138.05728
386,19.3,-0.09393689,-0.0039239014,-5.382187,-0.22482297,1853,742,145.70416
387,19.35,-0.0964384,0.00038535942,-5.525513,0.022079468,1868,717,145.70416
388,19.4,-0.095262334,0.009720006,-5.4581294,0.5569153,1861,664,145.70416
389,19.45,-0.092736326,0.0020932446,-5.3134,0.119934075,1845,708,145.70416
