Frame,Time,GameX,GameY,Speed_X,Speed_Y
1,0.0,640.0,338.0,3,3
2,0.11,640.0,341.0,3,3
3,0.15,640.0,344.0,3,3
4,0.18,640.0,347.0,3,3
5,0.22,640.0,350.0,3,3
6,0.25,640.0,353.0,3,3
7,0.28,640.0,356.0,3,3
8,0.32,640.0,359.0,3,3
9,0.35,640.0,362.0,3,3
10,0.38,640.0,365.0,3,3
11,0.42,640.0,368.0,3,3
12,0.45,640.0,371.0,3,3
13,0.48,640.0,374.0,3,3
14,0.52,640.0,377.0,3,3
15,0.55,640.0,380.0,3,3
16,0.58,640.0,383.0,3,3
17,0.62,640.0,386.0,3,3
18,0.65,640.0,389.0,3,3
19,0.68,640.0,392.0,3,3
20,0.72,640.0,395.0,3,3
21,0.75,640.0,398.0,3,3
22,0.79,640.0,401.0,3,3
23,0.82,640.0,404.0,3,3
24,0.85,640.0,407.0,3,3
25,0.89,640.0,410.0,3,3
26,0.92,640.0,413.0,3,3
27,0.95,640.0,416.0,3,3
28,0.98,640.0,419.0,3,3
29,1.02,640.0,422.0,3,3
30,1.05,640.0,425.0,3,3
31,1.09,640.0,428.0,3,3
32,1.12,640.0,431.0,3,3
33,1.15,640.0,434.0,3,3
34,1.19,640.0,437.0,3,3
35,1.22,640.0,440.0,3,3
36,1.25,640.0,443.0,3,3
37,1.29,640.0,446.0,3,3
38,1.32,640.0,449.0,3,3
39,1.35,640.0,452.0,3,3
40,1.39,640.0,455.0,3,3
41,1.42,640.0,458.0,3,3
42,1.45,640.0,461.0,3,3
43,1.49,640.0,464.0,3,3
44,1.52,640.0,467.0,3,3
45,1.55,640.0,470.0,3,3
46,1.59,640.0,473.0,3,3
47,1.62,640.0,476.0,3,3
48,1.65,640.0,479.0,3,3
49,1.68,640.0,482.0,3,3
50,1.72,640.0,485.0,3,3
51,1.75,640.0,488.0,3,3
52,1.78,640.0,491.0,3,3
53,1.82,640.0,494.0,3,3
54,1.85,640.0,497.0,3,3
55,1.88,640.0,500.0,3,3
56,1.92,640.0,503.0,3,3
57,1.95,640.0,506.0,3,3
58,1.98,640.0,509.0,3,3
59,2.02,640.0,512.0,3,3
60,2.05,640.0,515.0,3,3
61,2.09,640.0,518.0,3,3
62,2.12,640.0,521.0,3,3
63,2.16,640.0,524.0,3,3
64,2.19,640.0,527.0,3,3
65,2.23,640.0,530.0,3,3
66,2.26,640.0,533.0,3,3
67,2.29,640.0,536.0,3,3
68,2.33,640.0,539.0,3,3
69,2.36,640.0,542.0,3,3
70,2.39,640.0,545.0,3,3
71,2.43,640.0,548.0,3,3
72,2.46,640.0,551.0,3,3
73,2.49,640.0,554.0,3,3
