Frame,Time_sec,Pitch_rad,Yaw_rad,Pitch_deg,Yaw_deg,ScreenX,ScreenY,Distance_cm
0,0.0,0.15536457,-0.029980803,8.901733,-1.7177734,644,882,97.21923
1,0.0333333333333333,0.19936958,-0.015962189,11.423035,-0.91456604,489,800,93.751625
2,0.0666666666666666,0.19377588,-0.044699296,11.102539,-2.561081,500,873,93.751625
3,0.1,0.19217665,-0.023188144,11.010911,-1.3285828,506,861,93.751625
4,0.1333333333333333,0.19646353,-0.0046810387,11.25653,-0.26820374,497,831,97.21923
5,0.1666666666666666,0.17596784,-0.023683224,10.082214,-1.3569487,497,831,97.02008
6,0.2,0.19627525,-0.014746989,11.245743,-0.8449402,491,822,97.02008
7,0.2333333333333333,0.1931564,-0.018462632,11.067046,-1.0578308,490,821,97.02008
8,0.2666666666666666,0.21246754,-0.015694808,12.173492,-0.8992462,475,817,97.02008
9,0.3,0.20195444,-0.022020614,11.571136,-1.2616881,471,820,97.02008
10,0.3333333333333333,0.22297849,-0.040449955,12.775725,-2.3176115,463,816,93.81139
11,0.3666666666666666,0.2171411,-0.03708452,12.441268,-2.1247864,451,838,93.81139
12,0.4,0.21985887,-0.040681653,12.596985,-2.3308868,442,855,93.81139
13,0.4333333333333333,0.217127,-0.043641753,12.44046,-2.500488,437,868,93.81139
14,0.4666666666666667,0.21602577,-0.04298901,12.377364,-2.4630888,435,878,93.81139
15,0.5,0.21590354,-0.047259923,12.37036,-2.707794,415,899,93.81139
16,0.5333333333333333,0.2147536,-0.042095788,12.304474,-2.4119108,424,905,90.52271
17,0.5666666666666667,0.20033842,-0.07591394,11.478545,-4.3495483,441,941,90.52271
18,0.6,0.20005453,-0.054272298,11.462279,-3.1095734,453,948,90.52271
19,0.6333333333333333,0.19455351,-0.07697947,11.147095,-4.4105988,464,969,90.52271
20,0.6666666666666666,0.1621897,-0.06916336,9.292786,-3.9627683,463,1016,93.751625
21,0.7,0.15396108,-0.067992106,8.82132,-3.8956604,508,1029,93.751625
22,0.7333333333333333,0.15123028,-0.060098223,8.664856,-3.4433744,540,1030,93.751625
