Frame,Time_sec,Pitch_rad,Yaw_rad,Pitch_deg,Yaw_deg,ScreenX,ScreenY,Distance_cm
0,0.0,-0.009583385,-0.16170901,-0.54908746,-9.265244,1349,1439,174.72675
1,0.0333333333333333,0.0021528995,-0.14224876,0.12335205,-8.150253,1264,1439,174.72675
2,0.0666666666666666,0.0137906475,-0.1457034,0.7901459,-8.348189,1222,1439,174.72675
3,0.1,0.0046852995,-0.13235565,0.26844788,-7.5834193,1229,1439,174.72675
4,0.1333333333333333,-0.003599795,-0.117365785,-0.20625305,-6.7245636,1248,1439,174.72675
5,0.1666666666666666,-0.009568738,-0.10769317,-0.5482483,-6.170364,1248,1439,174.72675
6,0.2,-0.014186127,-0.121032685,-0.8128052,-6.934662,1284,1439,174.72675
7,0.2333333333333333,-0.012833508,-0.120993,-0.7353058,-6.932388,1302,1439,174.72675
8,0.2666666666666666,0.0035936697,-0.1290046,0.2059021,-7.3914185,1294,1439,174.72675
9,0.3,-0.001283111,-0.12341861,-0.073516846,-7.071365,1293,1439,174.72675
10,0.3333333333333333,0.007833156,-0.089330144,0.44880673,-5.11824,1307,1439,174.72675
11,0.3666666666666666,0.004490356,-0.06595851,0.25727844,-3.7791438,1292,1437,174.72675
12,0.4,0.046121158,-0.079277515,2.6425476,-4.542267,1227,1437,162.90219
13,0.4333333333333333,0.04744608,-0.0746255,2.7184598,-4.275726,1182,1437,162.90219
14,0.4666666666666667,0.048532385,-0.07751237,2.7807007,-4.441131,1145,1437,173.57848
15,0.5,0.04690173,-0.06860597,2.6872709,-3.9308321,1093,1437,173.57848
16,0.5333333333333333,0.039574042,-0.055632904,2.2674255,-3.1875305,1068,1404,173.57848
17,0.5666666666666667,0.03781742,-0.04899657,2.1667783,-2.8072965,1055,1371,174.72675
18,0.6,0.04580637,-0.054751396,2.6245115,-3.1370237,1037,1359,174.72675
19,0.6333333333333333,0.04623088,-0.058058247,2.648834,-3.3264923,1024,1354,174.72675
20,0.6666666666666666,0.047440752,-0.059396483,2.7181547,-3.4031677,946,1324,174.72675
21,0.7,0.040168725,-0.053211827,2.3014982,-3.0488129,954,1314,174.72675
22,0.7333333333333333,0.036371857,-0.039675508,2.0839539,-2.273239,965,1282,174.72675
23,0.7666666666666667,0.053362295,-0.07198578,3.057434,-4.124481,954,1306,174.72675
24,0.8,0.033344373,-0.0639686,1.9104917,-3.6651306,964,1318,174.72675
25,0.8333333333333334,0.018535603,-0.07044088,1.0620117,-4.035965,892,1285,174.72675
26,0.8666666666666667,0.030851923,-0.042407114,1.7676848,-2.4297485,923,1263,174.72675
27,0.9,0.034912176,-0.045128066,2.0003202,-2.5856476,939,1252,174.72675
28,0.9333333333333332,0.012935506,-0.06137761,0.74114984,-3.5166779,973,1270,174.72675
29,0.9666666666666668,0.034944933,-0.041735463,2.002197,-2.3912656,979,1256,174.72675
30,1.0,0.039525308,-0.03277792,2.2646332,-1.8780364,929,1216,174.72675
31,1.0333333333333334,0.037331928,-0.023338348,2.1389618,-1.3371887,942,1175,174.72675
32,1.0666666666666669,0.021208083,-0.049457565,1.2151335,-2.8337095,968,1185,174.72675
33,1.1,0.033334788,-0.062159248,1.9099425,-3.5614624,974,1214,185.73708
34,1.1333333333333333,0.043171175,-0.06451348,2.473526,-3.69635,971,1239,185.73708
35,1.1666666666666667,0.027294738,-0.05789659,1.5638732,-3.3172302,931,1204,185.73708
36,1.2,0.009492305,-0.059646554,0.543869,-3.4174957,971,1232,185.73708
37,1.2333333333333334,0.021996647,-0.056482982,1.260315,-3.2362363,988,1248,185.73708
38,1.2666666666666666,0.046864446,-0.07349579,2.685135,-4.2109985,982,1270,174.72675
39,1.3,0.05187998,-0.073769026,2.9725037,-4.2266536,974,1287,174.72675
40,1.3333333333333333,0.029698242,-0.05630828,1.7015839,-3.2262266,942,1268,187.14598
