Frame,Time_sec,Pitch_rad,Yaw_rad,Pitch_deg,Yaw_deg,ScreenX,ScreenY,Distance_cm
0,0.0,-0.05938157,-0.1302166,-3.4023132,-7.460861,1710,1439,173.57848
1,0.0333333333333333,-0.07857577,-0.18502685,-4.5020595,-10.601257,1848,1439,173.57848
2,0.0666666666666666,-0.12494434,-0.3317785,-7.158783,-19.009506,2018,1439,173.57848
3,0.1,-0.22279926,-0.27995574,-12.765456,-16.040281,2198,1439,187.14598
4,0.1333333333333333,-0.075086765,-0.3606706,-4.3021545,-20.664902,2114,1439,185.73708
5,0.1666666666666666,-0.15845755,-0.2802106,-9.078948,-16.054884,2114,1439,185.73708
6,0.2,-0.03722114,-0.1498329,-2.1326141,-8.584792,1969,1439,185.73708
7,0.2333333333333333,-0.044482518,-0.124385335,-2.5486605,-7.1267543,1897,1439,185.73708
8,0.2666666666666666,-0.07148138,-0.1404213,-4.095581,-8.0455475,1886,1439,185.73708
9,0.3,-0.044687312,-0.124944866,-2.5603943,-7.158813,1847,1439,185.73708
10,0.3333333333333333,-0.0377812,-0.11685552,-2.1647034,-6.6953278,1766,1439,185.73708
11,0.3666666666666666,-0.032557942,-0.13171463,-1.8654326,-7.546692,1708,1439,185.73708
12,0.4,0.022084797,-0.068264015,1.2653656,-3.9112396,1590,1439,173.57848
13,0.4333333333333333,0.008301074,-0.0601941,0.47561646,-3.4488678,1529,1426,173.57848
14,0.4666666666666667,0.017692178,-0.06791434,1.0136871,-3.8912046,1475,1428,173.57848
15,0.5,0.027619379,-0.055279233,1.5824738,-3.1672666,1273,1423,185.73708
16,0.5333333333333333,0.032740638,-0.051136956,1.8759003,-2.9299316,1213,1392,185.73708
17,0.5666666666666667,0.0055787903,-0.062433284,0.3196411,-3.5771635,1217,1400,185.73708
18,0.6,-0.005868542,-0.06889331,-0.33624268,-3.947296,1234,1407,173.57848
19,0.6333333333333333,0.042370625,-0.05724039,2.4276578,-3.2796326,1195,1400,185.73708
20,0.6666666666666666,0.02238014,-0.05671255,1.2822875,-3.2493896,964,1387,185.73708
21,0.7,0.027608458,-0.053063218,1.581848,-3.0402982,986,1372,185.73708
22,0.7333333333333333,0.039563123,-0.04534671,2.2668,-2.598175,983,1346,185.73708
23,0.7666666666666667,0.03132197,-0.051644024,1.7946166,-2.9589844,991,1339,185.73708
24,0.8,0.0323654,-0.044936847,1.8544008,-2.5746915,996,1324,185.73708
25,0.8333333333333334,0.027406324,-0.038974565,1.5702666,-2.233078,775,1291,185.73708
26,0.8666666666666667,0.03492949,-0.042593535,2.0013123,-2.4404297,820,1273,185.73708
27,0.9,0.046066828,-0.045056958,2.6394346,-2.5815735,836,1265,185.73708
28,0.9333333333333332,0.05042083,-0.039055258,2.8889005,-2.2377014,843,1250,185.73708
29,0.9666666666666668,0.038547926,-0.050791543,2.2086334,-2.910141,860,1254,185.73708
