Frame,Time_sec,Pitch_rad,Yaw_rad,Pitch_deg,Yaw_deg,ScreenX,ScreenY,Distance_cm
0,0.0,-0.13389842,0.02158066,-7.671814,1.2364807,2017,530,131.17209
1,0.0333333333333333,-0.17162076,0.030647924,-9.833144,1.7559966,2226,444,131.17209
2,0.0666666666666666,-0.17444398,0.041735996,-9.994903,2.3912964,2213,403,125.081856
3,0.1,-0.22428532,0.051757473,-12.850601,2.9654846,2318,348,131.33595
4,0.1333333333333333,-0.20480642,0.011327756,-11.734543,0.64903253,2343,415,131.17209
5,0.1666666666666666,-0.18107791,0.018262096,-10.375,1.046341,2343,414,138.05728
6,0.2,-0.20197548,0.018718828,-11.572342,1.0725098,2374,447,138.05728
7,0.2333333333333333,-0.19511785,0.015972842,-11.179428,0.91517633,2372,474,131.33595
8,0.2666666666666666,-0.18186568,0.03877243,-10.4201355,2.2214966,2357,455,131.33595
9,0.3,-0.17507514,0.00978978,-10.031066,0.560913,2349,481,138.24837
10,0.3333333333333333,-0.15989433,0.02524677,-9.16127,1.4465332,2351,501,138.24837
11,0.3666666666666666,-0.1795386,0.023682427,-10.286803,1.3569031,2344,499,138.05728
12,0.4,-0.18325771,0.010663032,-10.499893,0.61094666,2345,523,138.05728
13,0.4333333333333333,-0.17434144,0.020882912,-9.989028,1.1965027,2328,524,131.17209
14,0.4666666666666667,-0.1938366,0.036687177,-11.106018,2.1020203,2332,504,131.17209
15,0.5,-0.1845576,0.026690202,-10.574371,1.5292358,2326,526,131.17209
16,0.5333333333333333,-0.15961097,0.004135623,-9.145035,0.23695374,2286,564,131.17209
17,0.5666666666666667,-0.17678596,0.020245617,-10.129088,1.1599884,2281,558,131.17209
18,0.6,-0.1614616,0.0011989551,-9.251068,0.06869506,2263,583,131.17209
19,0.6333333333333333,-0.18560103,0.0039452068,-10.634155,0.22604369,2269,597,131.17209
20,0.6666666666666666,-0.1550748,-0.000923318,-8.885131,-0.05290222,2242,645,131.17209
21,0.7,-0.1603809,-0.013687583,-9.189148,-0.78424066,2236,689,138.05728
22,0.7333333333333333,-0.16146374,0.0024495756,-9.25119,0.14035034,2233,690,138.05728
23,0.7666666666666667,-0.1681829,-0.0063303337,-9.636169,-0.3627014,2229,703,131.17209
24,0.8,-0.15399304,0.028318191,-8.823151,1.6225127,2216,672,131.33595
25,0.8333333333333334,-0.16887505,-0.0022210763,-9.675827,-0.12725829,2181,728,131.17209
26,0.8666666666666667,-0.16189276,-0.015730493,-9.275771,-0.9012908,2180,753,131.17209
27,0.9,-0.15765408,-0.022508772,-9.032912,-1.2896576,2175,780,131.17209
28,0.9333333333333332,-0.1581979,-0.013264673,-9.064072,-0.7600097,2172,788,131.17209
29,0.9666666666666668,-0.15143134,-0.0005057343,-8.676376,-0.028976439,2165,780,131.17209
30,1.0,-0.14439288,0.0004577974,-8.273102,0.026229858,2126,850,131.17209
31,1.0333333333333334,-0.14597319,-0.010074738,-8.363647,-0.57723993,2119,843,131.17209
32,1.0666666666666669,-0.14598225,0.0211716,-8.364166,1.2130432,2120,797,138.24837
33,1.1,-0.14625335,0.022377213,-8.379699,1.2821199,2121,761,138.24837
34,1.1333333333333333,-0.14827229,0.025106419,-8.495376,1.4384917,2123,731,138.05728
35,1.1666666666666667,-0.15009922,0.019527629,-8.600051,1.1188507,2084,774,138.05728
36,1.2,-0.123413555,0.038438737,-7.0710754,2.2023773,2071,715,138.05728
37,1.2333333333333334,-0.13233568,0.017639713,-7.5822754,1.010681,2068,695,138.05728
38,1.2666666666666666,-0.12929115,0.011909124,-7.4078364,0.6823425,2059,686,131.33595
39,1.3,-0.123295575,0.0073415367,-7.064316,0.42063904,2053,682,138.05728
40,1.3333333333333333,-0.15276584,0.03832955,-8.752837,2.1961212,2007,707,131.17209
41,1.3666666666666667,-0.15359223,0.03433933,-8.800186,1.9674987,2023,669,131.33595
42,1.4,-0.14316595,0.03971093,-8.202804,2.2752686,2028,635,131.33595
43,1.4333333333333331,-0.14827895,0.045974683,-8.495758,2.6341553,2035,602,131.33595
44,1.4666666666666666,-0.14152785,0.055418517,-8.108948,3.175247,2037,567,131.33595
45,1.5,-0.14271455,0.054327425,-8.176941,3.112732,1997,568,131.33595
46,1.5333333333333334,-0.14939322,0.024493894,-8.5596,1.4033966,2009,560,131.33595
47,1.5666666666666669,-0.13976723,0.045550443,-8.008072,2.609848,2014,535,131.33595
48,1.6,-0.15681519,0.057373814,-8.984848,3.2872772,2026,504,131.33595
49,1.6333333333333333,-0.16275297,0.04405827,-9.325058,2.5243528,2039,489,131.33595
50,1.6666666666666667,-0.1628475,0.04426733,-9.330474,2.5363312,2005,477,131.33595
51,1.7,-0.16253832,0.043810066,-9.312759,2.5101318,2023,462,131.33595
52,1.7333333333333334,-0.15871802,0.048607215,-9.093872,2.7849882,2036,445,131.33595
53,1.7666666666666666,-0.15439783,0.049892463,-8.846344,2.8586273,2044,430,131.33595
54,1.8,-0.15609507,0.048952363,-8.943588,2.8047636,2052,418,131.33595
55,1.8333333333333333,-0.15742,0.044869207,-9.019501,2.570816,2025,399,131.33595
56,1.8666666666666667,-0.15525298,0.043215916,-8.89534,2.4760895,2035,392,131.33595
57,1.9,-0.14694977,0.033462353,-8.419601,1.9172515,2040,395,131.33595
58,1.9333333333333331,-0.14463602,0.032178443,-8.287033,1.8436888,2043,398,131.33595
59,1.9666666666666663,-0.12500799,0.029219672,-7.16243,1.6741638,2038,403,131.33595
60,2.0,-0.12932044,0.04851241,-7.4095154,2.7795563,2012,384,131.33595
61,2.033333333333333,-0.13353543,0.041126665,-7.651016,2.3563843,2016,380,138.24837
62,2.066666666666667,-0.15634169,0.048522532,-8.957718,2.780136,2030,370,138.24837
63,2.1,-0.15088245,0.048171524,-8.644927,2.7600248,2036,364,131.17209
64,2.1333333333333333,-0.13246483,0.053307433,-7.589675,3.0542908,2034,356,131.33595
65,2.1666666666666665,-0.14510128,0.04765487,-8.31369,2.7304227,2011,334,131.33595
66,2.2,-0.14372016,0.05260036,-8.234558,3.0137784,2016,327,131.33595
67,2.2333333333333334,-0.14297128,0.052262407,-8.19165,2.9944153,2020,322,131.33595
68,2.2666666666666666,-0.15201457,0.015504925,-8.709793,0.8883667,2027,340,131.33595
69,2.3,-0.13749422,0.045879874,-7.877838,2.628723,2028,338,131.33595
70,2.333333333333333,-0.14805764,0.0026290726,-8.483077,0.15063475,2006,316,131.33595
71,2.3666666666666667,-0.13295805,0.022729548,-7.617935,1.3023071,2007,331,131.33595
72,2.4,-0.13411067,0.03276647,-7.683975,1.8773803,2008,338,131.33595
73,2.433333333333333,-0.12894414,0.023525033,-7.3879547,1.347885,2006,350,131.17209
74,2.466666666666667,-0.116078146,0.01578056,-6.6507874,0.9041595,2001,364,131.17209
75,2.5,-0.11559557,-0.010388459,-6.623138,-0.59521484,1979,347,124.940285
76,2.533333333333333,-0.14901878,-0.01727779,-8.538147,-0.9899444,1988,384,131.33595
77,2.566666666666667,-0.24405609,-0.058184482,-13.983383,-3.333725,2026,442,131.33595
78,2.6,-0.30679083,-0.094342224,-17.577818,-5.405411,2059,504,138.05728
79,2.6333333333333333,-0.26185507,-0.046632215,-15.003189,-2.671829,2088,542,131.33595
80,2.6666666666666665,-0.19371809,0.035221905,-11.099229,2.0180664,2076,544,131.33595
81,2.7,-0.18801066,0.016225042,-10.772217,0.92962635,2093,546,131.33595
82,2.7333333333333334,-0.1607247,0.03133822,-9.208846,1.7955476,2100,538,138.05728
83,2.7666666666666666,-0.18938059,-0.0019608855,-10.850708,-0.11235046,2117,550,138.05728
84,2.8,-0.1342931,-0.001759018,-7.694427,-0.1007843,2111,560,131.17209
85,2.833333333333333,-0.12953722,-0.00091958954,-7.421936,-0.052688595,2103,563,131.17209
86,2.8666666666666667,-0.12827596,0.0036400086,-7.349671,0.20855711,2098,571,138.05728
87,2.9,-0.12333659,-0.0019270633,-7.0666656,-0.11041259,2092,580,138.05728
88,2.933333333333333,-0.12167876,0.00020053604,-6.971679,0.011489868,2086,588,138.05728
89,2.966666666666667,-0.11756498,5.1665327e-05,-6.735977,0.002960205,2079,595,138.05728
90,3.0,-0.114120714,0.003932424,-6.538635,0.22531128,2069,601,138.05728
91,3.033333333333333,-0.112472214,0.00059228705,-6.444183,0.033935547,2061,607,138.05728
92,3.066666666666667,-0.10746095,-0.014947791,-6.1570587,-0.85644525,2050,621,131.33595
93,3.1,-0.11578066,-0.019736154,-6.633743,-1.1307982,2045,636,138.05728
94,3.1333333333333333,-0.11534044,-0.013149092,-6.60852,-0.75338745,2040,646,138.05728
95,3.1666666666666665,-0.1139556,-0.014958444,-6.529175,-0.85705566,2027,655,138.05728
