Frame,Time_sec,Pitch_rad,Yaw_rad,Pitch_deg,Yaw_deg,ScreenX,ScreenY,Distance_cm
0,0.0,-0.0071125044,0.047186952,-0.40751645,2.703613,1325,267,154.24625
1,0.0333333333333333,-0.027159717,0.07146593,-1.5561371,4.094696,1443,66,145.70416
2,0.0666666666666666,0.010131997,0.050407514,0.58052063,2.8881376,1331,166,145.70416
3,0.1,0.049772352,0.0033915357,2.8517456,0.19432068,1213,340,145.70416
4,0.1333333333333333,0.04693635,0.007803062,2.6892548,0.4470825,1158,417,145.70416
5,0.1666666666666666,0.062434085,0.017296966,3.5772095,0.9910431,1158,418,138.24837
6,0.2,0.046929426,-0.013444703,2.688858,-0.7703247,1114,529,145.70416
7,0.2333333333333333,0.057455573,0.026219087,3.2919617,1.5022429,1075,521,145.92883
8,0.2666666666666666,0.058061175,0.03792368,3.3266602,2.1728666,1049,498,145.92883
9,0.3,0.045745917,-0.0099804625,2.6210477,-0.5718383,1042,544,145.70416
10,0.3333333333333333,0.03761582,0.011128551,2.1552277,0.63761896,1006,583,145.92883
11,0.3666666666666666,0.04880083,-0.030462302,2.7960815,-1.7453612,1004,679,138.05728
12,0.4,0.071529314,-0.027039075,4.0983276,-1.5492249,972,733,145.70416
13,0.4333333333333333,0.083480515,0.01802667,4.783081,1.032852,938,705,145.92883
14,0.4666666666666667,0.106631905,0.02890462,6.1095576,1.6561127,899,675,138.24837
15,0.5,0.12743387,0.02330479,7.301422,1.335266,819,751,145.70416
16,0.5333333333333333,0.1068455,0.054295465,6.1217957,3.1109009,772,633,145.70416
17,0.5666666666666667,0.060826603,0.010270747,3.4851074,0.58847046,799,632,145.92883
18,0.6,0.055109326,0.045723278,3.1575315,2.6197507,822,581,145.92883
19,0.6333333333333333,0.041492317,0.0038791606,2.3773346,0.22225952,853,596,138.05728
20,0.6666666666666666,0.04091814,0.033567816,2.3444366,1.9232941,785,616,145.92883
21,0.7,0.05368853,0.03247592,3.076126,1.8607329,821,577,145.70416
22,0.7333333333333333,0.044904895,-0.024533574,2.5728607,-1.4056702,854,641,145.92883
23,0.7666666666666667,0.057025205,-0.009477658,3.2673035,-0.5430298,863,666,154.24625
24,0.8,0.074387945,0.040348753,4.262115,2.311813,858,627,145.92883
25,0.8333333333333334,0.07481725,0.035935897,4.286712,2.0589752,813,650,145.92883
26,0.8666666666666667,0.062213838,0.028651355,3.5645902,1.6416016,829,616,145.70416
27,0.9,0.052425396,0.019636553,3.0037537,1.1250916,850,606,145.70416
28,0.9333333333333332,0.05783534,0.047961935,3.3137207,2.7480164,861,564,145.70416
29,0.9666666666666668,0.060287576,0.012596219,3.4542234,0.72171015,867,569,145.92883
30,1.0,0.07266489,0.03331295,4.163391,1.9086914,836,571,145.92883
31,1.0333333333333334,0.06785948,0.060644176,3.8880615,3.4746552,841,509,145.92883
32,1.0666666666666669,0.06741446,0.0615587,3.862564,3.5270536,844,463,145.92883
33,1.1,0.10343026,0.036086634,5.9261174,2.0676117,820,458,145.70416
34,1.1333333333333333,0.09233339,0.035366245,5.2903132,2.0263364,808,453,145.70416
35,1.1666666666666667,0.08484192,0.055981513,4.861084,3.2075043,771,429,145.70416
36,1.2,0.08310314,0.03922011,4.761459,2.2471466,771,422,145.70416
37,1.2333333333333334,0.09688048,0.052699964,5.5508423,3.0194855,765,407,138.05728
38,1.2666666666666666,0.10709716,0.045788262,6.1362147,2.6234741,749,398,145.70416
39,1.3,0.074630566,0.017224262,4.276016,0.98687744,757,416,145.70416
40,1.3333333333333333,0.10381029,0.043736033,5.947891,2.50589,717,389,154.24625
41,1.3666666666666667,0.123012476,0.0425424,7.048095,2.4375,692,386,145.70416
42,1.4,0.12443141,0.03861983,7.129394,2.2127533,667,385,154.24625
43,1.4333333333333331,0.09686397,0.025215078,5.5498962,1.4447175,672,399,138.24837
44,1.4666666666666666,0.124543265,0.037433393,7.135803,2.1447754,658,400,145.70416
45,1.5,0.10703271,0.06101968,6.132522,3.49617,608,374,138.24837
46,1.5333333333333334,0.11946781,0.049400307,6.8450007,2.8304288,601,367,145.92883
47,1.5666666666666669,0.114923924,0.047473773,6.5846553,2.7200468,598,362,145.92883
48,1.6,0.10687186,0.05381583,6.1233063,3.0834198,601,353,145.92883
49,1.6333333333333333,0.113928966,0.043683834,6.5276484,2.5028992,599,353,145.92883
50,1.6666666666666667,0.11084183,0.031796012,6.350769,1.8217772,548,325,145.92883
51,1.7,0.112456776,0.03749571,6.4432983,2.1483457,552,333,145.92883
52,1.7333333333333334,0.10982291,0.05076731,6.292389,2.9087524,557,329,145.92883
53,1.7666666666666666,0.11650664,0.05005811,6.6753387,2.8681183,558,327,145.92883
54,1.8,0.118512005,0.045698516,6.7902374,2.618332,558,328,145.70416
55,1.8333333333333333,0.11061626,0.049916428,6.3378444,2.8600004,508,300,145.70416
56,1.8666666666666667,0.10286966,0.043967992,5.893997,2.5191803,521,304,145.70416
57,1.9,0.10597304,0.037467748,6.071808,2.1467438,531,313,145.70416
58,1.9333333333333331,0.1282858,0.044699296,7.350234,2.561081,528,316,145.70416
59,1.9666666666666663,0.1059544,0.054117564,6.0707397,3.1007078,533,310,154.24625
60,2.0,0.107122466,0.016304405,6.137665,0.9341736,486,283,145.92883
61,2.033333333333333,0.10911344,0.013710487,6.251739,0.785553,497,312,145.70416
62,2.066666666666667,0.106792495,0.01699736,6.1187587,0.9738769,507,333,145.70416
63,2.1,0.09890528,0.017938254,5.666855,1.0277863,520,350,145.70416
64,2.1333333333333333,0.117767654,0.050812583,6.747589,2.9113464,523,347,145.70416
65,2.1666666666666665,0.11228127,0.04581729,6.4332423,2.625137,480,327,145.70416
66,2.2,0.11438651,0.048740912,6.5538635,2.7926483,488,326,145.70416
67,2.2333333333333334,0.10566146,0.04701811,6.0539556,2.6939392,499,326,145.70416
68,2.2666666666666666,0.10635574,0.0457105,6.0937347,2.6190186,508,327,145.70416
69,2.3,0.10547264,0.045023404,6.0431366,2.5796509,516,327,145.70416
70,2.333333333333333,0.10023553,0.017365942,5.7430725,0.9949951,478,308,145.70416
71,2.3666666666666667,0.100517824,0.01278344,5.759247,0.73243713,492,331,145.70416
72,2.4,0.118526384,0.04360261,6.7910614,2.4982452,499,334,138.24837
73,2.433333333333333,0.11309566,0.043502472,6.4799037,2.492508,507,337,138.24837
74,2.466666666666667,0.11574472,0.044051882,6.6316833,2.5239868,513,339,138.24837
75,2.5,0.116100244,0.04240152,6.652054,2.4294279,478,323,138.24837
76,2.533333333333333,0.11116194,0.04357145,6.3691096,2.49646,489,326,138.24837
77,2.566666666666667,0.11554071,0.040162336,6.6199946,2.3011322,497,331,138.24837
78,2.6,0.12180926,0.03951412,6.979156,2.2639923,502,336,138.24837
79,2.6333333333333333,0.12375071,0.038207307,7.090393,2.1891174,505,341,138.24837
80,2.6666666666666665,0.12800804,0.03375131,7.33432,1.9338075,473,326,138.24837
81,2.7,0.12064173,0.05094228,6.9122615,2.9187775,480,326,138.24837
82,2.7333333333333334,0.12909406,0.047120374,7.3965445,2.6997983,483,327,138.05728
83,2.7666666666666666,0.116583616,0.051052798,6.6797485,2.9251096,490,326,138.24837
84,2.8,0.11970324,0.03300722,6.85849,1.8911743,493,333,145.92883
85,2.833333333333333,0.113097794,0.03793167,6.480026,2.1733243,463,319,145.92883
86,2.8666666666666667,0.11206343,0.04272243,6.420761,2.4478147,471,322,145.92883
87,2.9,0.10927163,0.032342758,6.2608027,1.8531034,479,329,145.92883
88,2.933333333333333,0.10656985,0.03480725,6.1060023,1.9943084,487,335,145.92883
