Frame,Time_sec,Pitch_rad,Yaw_rad,Pitch_deg,Yaw_deg,ScreenX,ScreenY,Distance_cm
0,0.0,-0.017790982,0.041592453,-1.0193481,2.383072,1407,273,171.714
1,0.0333333333333333,-0.021656027,0.05027782,-1.2407988,2.8807068,1434,178,171.714
2,0.0666666666666666,-0.03124234,0.027708862,-1.7900542,1.5876007,1469,298,171.714
3,0.1,-0.043454,0.055128235,-2.4897306,3.158615,1510,236,173.57848
4,0.1333333333333333,-0.063112125,0.030188529,-3.616058,1.7296752,1566,273,171.714
5,0.1666666666666666,-0.040338635,0.042861182,-2.3112335,2.4557648,1566,273,0.0
6,0.2,-0.03807415,0.017257817,-2.181488,0.98880005,1561,343,169.20184
7,0.2333333333333333,-0.04757338,0.01983256,-2.7257538,1.136322,1573,377,169.20184
8,0.2666666666666666,-0.02302356,0.015241272,-1.3191528,0.8732605,1552,406,183.45801
9,0.3,-0.0026266759,-0.031127827,-0.15049744,-1.783493,1515,504,183.45801
10,0.3333333333333333,0.0067865336,-0.0012165321,0.38883972,-0.06970215,1499,575,183.45801
11,0.3666666666666666,0.0334003,0.040881123,1.9136962,2.3423157,1381,498,183.45801
12,0.4,0.023893084,0.04633075,1.3689728,2.6545563,1324,439,183.45801
13,0.4333333333333333,0.03274916,0.059781842,1.8763887,3.425247,1278,383,171.714
14,0.4666666666666667,0.032813873,0.02002058,1.8800963,1.1470947,1242,399,183.45801
15,0.5,0.014545388,0.04258954,0.8333893,2.4402008,1121,397,183.45801
16,0.5333333333333333,0.022385467,0.05146852,1.2825927,2.9489288,1118,336,183.45801
17,0.5666666666666667,0.025393775,0.047819454,1.454956,2.7398527,1111,306,183.45801
18,0.6,0.05438974,0.04803198,3.1163025,2.7520294,1138,374,0.0
19,0.6333333333333333,0.035858933,0.07022836,2.0545654,4.0237885,1122,321,171.714
20,0.6666666666666666,0.054937553,0.059024975,3.1476898,3.3818817,1001,292,173.57848
21,0.7,0.059988238,0.06423598,3.4370728,3.6804502,967,240,173.57848
22,0.7333333333333333,0.06434464,0.07062703,3.686676,4.046631,939,197,173.57848
23,0.7666666666666667,0.03045245,0.058535215,1.7447968,3.3538206,990,276,0.0
24,0.8,0.055248346,0.068004616,3.1654968,3.8963773,972,240,185.73708
25,0.8333333333333334,0.046852197,0.072124,2.684433,4.1324005,842,194,185.73708
26,0.8666666666666667,0.069058165,0.09268972,3.956741,5.3107295,925,294,0.0
27,0.9,0.05081445,0.089927755,2.9114532,5.1524806,981,362,0.0
28,0.9333333333333332,0.053281598,0.08988062,3.0528104,5.1497803,1022,411,0.0
29,0.9666666666666668,0.06449351,0.0969428,3.6952055,5.554413,1053,448,0.0
30,1.0,0.07343427,0.07314532,4.2074738,4.190918,979,469,185.73708
31,1.0333333333333334,0.055936236,0.0775137,3.20491,4.441208,962,391,171.714
32,1.0666666666666669,0.073494725,0.05249677,4.2109375,3.007843,932,362,171.714
33,1.1,0.060022857,0.08092388,3.4390562,4.636596,921,317,173.57848
34,1.1333333333333333,0.059994895,0.082327366,3.437454,4.7170105,912,282,173.57848
35,1.1666666666666667,0.056319736,0.049476475,3.226883,2.834793,823,261,171.714
36,1.2,0.08226319,0.06999879,4.713333,4.0106354,889,327,0.0
37,1.2333333333333334,0.05874055,0.04784103,3.3655853,2.741089,938,377,0.0
38,1.2666666666666666,0.076015405,0.073071286,4.3553615,4.186676,976,415,0.0
39,1.3,0.06518673,0.054334614,3.7349243,3.113144,956,385,185.73708
40,1.3333333333333333,0.06631591,0.05789473,3.7996216,3.3171234,892,389,185.73708
41,1.3666666666666667,0.05662839,0.045085456,3.2445676,2.5832062,885,367,185.73708
42,1.4,0.05071911,0.040433712,2.9059906,2.316681,885,356,185.73708
43,1.4333333333333331,0.05904042,0.043372773,3.3827667,2.4850767,879,344,185.73708
44,1.4666666666666666,0.06128733,0.040414535,3.5115051,2.315582,872,337,185.73708
45,1.5,0.064352356,0.041364484,3.6871183,2.3700101,805,332,185.73708
46,1.5333333333333334,0.058469437,0.030857515,3.3500519,1.7680053,807,337,185.73708
47,1.5666666666666669,0.055409733,0.028847627,3.1747437,1.6528472,811,343,185.73708
48,1.6,0.068311416,0.015850335,3.9139557,0.9081573,855,378,0.0
49,1.6333333333333333,0.076601304,0.010678211,4.3889313,0.6118164,891,407,0.0
50,1.6666666666666667,0.08193721,0.011302456,4.694656,0.647583,837,414,0.0
51,1.7,0.07977553,0.016097212,4.570801,0.92230225,883,445,0.0
52,1.7333333333333334,0.07630463,0.029392777,4.371933,1.684082,921,471,0.0
53,1.7666666666666666,0.06801341,0.024612136,3.8968809,1.4101715,951,492,0.0
54,1.8,0.04994439,0.00613326,2.8616025,0.3514099,977,510,0.0
55,1.8333333333333333,0.026398852,0.002563559,1.5125427,0.1468811,943,530,185.73708
56,1.8666666666666667,0.05563317,-0.023302393,3.1875455,-1.3351287,975,548,0.0
57,1.9,0.044047087,-0.033855435,2.5237122,-1.9397734,1002,563,0.0
58,1.9333333333333331,0.06362852,-0.014162958,3.6456454,-0.81147766,1024,575,0.0
59,1.9666666666666663,0.06866269,-0.008384164,3.934082,-0.4803772,1043,586,0.0
60,2.0,0.078538224,-0.0029742185,4.4999084,-0.17041016,1021,613,0.0
61,2.033333333333333,0.06203594,0.011087539,3.5543973,0.63526917,1044,622,0.0
62,2.066666666666667,0.06428818,0.012768259,3.683441,0.7315673,1063,630,0.0
63,2.1,0.07062837,0.01990633,4.046707,1.1405487,1079,636,0.0
64,2.1333333333333333,0.06805575,0.017556889,3.899307,1.0059355,1093,642,0.0
65,2.1666666666666665,0.06871489,0.024348749,3.9370728,1.3950804,1080,672,0.0
66,2.2,0.07026325,-0.0053098104,4.0257874,-0.3042297,1096,676,0.0
67,2.2333333333333334,0.061452176,0.015147262,3.52095,0.86787415,1110,679,0.0
68,2.2666666666666666,0.061928883,0.013522734,3.5482635,0.77479553,1121,682,0.0
69,2.3,0.07048589,-0.0035800873,4.0385437,-0.20512389,1132,684,0.0
70,2.333333333333333,0.0641164,-0.006305567,3.673599,-0.36128235,1124,716,0.0
71,2.3666666666666667,0.06953354,-0.0029137647,3.9839783,-0.16694641,1136,716,0.0
72,2.4,0.074149065,0.0052773203,4.2484283,0.30236816,1146,716,0.0
73,2.433333333333333,0.053509835,0.007987619,3.0658875,0.45765686,1130,711,171.714
74,2.466666666666667,0.058449466,0.0091572795,3.3489075,0.52467346,1113,706,171.714
75,2.5,0.057741858,0.015615978,3.3083646,0.8947296,1105,737,171.714
76,2.533333333333333,0.057090454,0.009532253,3.2710419,0.54615784,1086,728,183.45801
77,2.566666666666667,0.057560768,0.0078557925,3.297989,0.45010373,1070,722,183.45801
78,2.6,0.05596926,-0.009002017,3.2068021,-0.5157775,1056,728,183.45801
79,2.6333333333333333,0.051657338,0.020454142,2.9597473,1.1719359,1047,715,171.714
80,2.6666666666666665,0.06271611,0.012324577,3.5933683,0.70614624,1034,744,171.714
