Frame,Time_sec,Pitch_rad,Yaw_rad,Pitch_deg,Yaw_deg,ScreenX,ScreenY,Distance_cm
0,0.0,-0.13516848,-0.07316263,-7.7445827,-4.19191,2156,1439,154.24625
1,0.0333333333333333,-0.10668863,-0.025846511,-6.112808,-1.4808959,1972,987,154.51288
2,0.0666666666666666,-0.17125085,-0.027538683,-9.811951,-1.5778502,2151,991,145.70416
3,0.1,-0.031027958,-0.025085112,-1.7777709,-1.437271,1928,981,154.24625
4,0.1333333333333333,0.06415688,-0.04483405,3.6759183,-2.5688019,1663,1018,154.24625
5,0.1666666666666666,-0.017017601,0.004624313,-0.9750367,0.2649536,1662,1018,154.51288
6,0.2,-0.017046895,0.025298167,-0.9767151,1.4494781,1590,873,154.51288
7,0.2333333333333333,-0.038579617,0.067466125,-2.210449,3.865524,1577,702,154.51288
8,0.2666666666666666,-0.044816207,0.03486264,-2.5677793,1.9974821,1575,646,154.51288
9,0.3,-0.038374554,0.020382237,-2.1987,1.167816,1566,629,145.70416
10,0.3333333333333333,-0.029676935,0.03759425,-1.700363,2.1539917,1536,508,154.51288
11,0.3666666666666666,0.1199035,0.017364344,6.869964,0.99490356,1279,523,154.51288
12,0.4,0.066542014,0.039108787,3.8125763,2.2407682,1193,491,154.51288
13,0.4333333333333333,0.10067229,0.06338643,5.768097,3.631775,1099,434,154.51288
14,0.4666666666666667,0.14183225,0.07883676,8.126389,4.5170135,994,377,154.24625
15,0.5,0.1434509,0.07735897,8.2191305,4.432342,741,203,154.24625
16,0.5333333333333333,0.101866975,0.07733927,5.8365474,4.4312134,712,161,154.24625
17,0.5666666666666667,0.073218025,0.034662906,4.1950836,1.9860381,730,208,154.24625
18,0.6,0.13653016,0.026151976,7.822602,1.4983977,683,256,145.70416
19,0.6333333333333333,0.13408218,0.0041816956,7.682343,0.23959349,652,316,145.70416
20,0.6666666666666666,0.14578997,-0.016816797,8.353149,-0.96353143,366,184,145.70416
21,0.7,0.14620754,0.037149765,8.377074,2.1285245,369,234,145.70416
22,0.7333333333333333,0.13564093,0.051298607,7.7716527,2.9391935,384,246,145.70416
23,0.7666666666666667,0.1490771,0.07444494,8.541489,4.265381,381,225,145.70416
24,0.8,0.08353884,0.09028942,4.7864227,5.1732025,428,195,154.24625
25,0.8333333333333334,0.10112396,0.084141515,5.793976,4.8209534,161,66,154.24625
26,0.8666666666666667,0.11860282,0.058118433,6.7954407,3.3299408,228,93,154.24625
27,0.9,0.21452402,0.042487275,12.29132,2.4343414,191,140,145.92883
28,0.9333333333333332,0.1592858,0.05750857,9.126404,3.2949982,198,152,154.51288
29,0.9666666666666668,0.14910454,0.08326187,8.54306,4.7705536,219,138,145.70416
30,1.0,0.14098829,0.06271878,8.078033,3.593521,-32,28,145.92883
31,1.0333333333333334,0.16874242,0.023801206,9.668228,1.3637086,12,111,145.70416
32,1.0666666666666669,0.14989309,0.044932324,8.588241,2.5744324,61,145,145.92883
33,1.1,0.13253887,0.042865444,7.5939174,2.456009,112,172,145.92883
34,1.1333333333333333,0.13545264,0.0061274013,7.7608643,0.35107422,149,227,145.70416
35,1.1666666666666667,0.14488955,0.0038330879,8.301559,0.21961975,-61,162,145.70416
36,1.2,0.15798725,0.0861277,9.052002,4.9347534,-15,138,153.45456
37,1.2333333333333334,0.10252478,0.051281832,5.874237,2.9382324,69,157,145.70416
38,1.2666666666666666,0.19101578,0.01720642,10.944397,0.98585516,65,204,154.24625
39,1.3,0.16794373,0.010516291,9.622466,0.602539,83,247,145.70416
40,1.3333333333333333,0.1569795,0.0063769394,8.994263,0.3653717,-98,199,145.70416
41,1.3666666666666667,0.15574938,0.067539364,8.923781,3.8697202,-44,195,145.70416
42,1.4,0.12795956,0.06324262,7.3315425,3.6235352,17,195,145.03629
43,1.4333333333333331,0.117396146,0.04574246,6.726303,2.6208498,68,208,154.24625
44,1.4666666666666666,0.117368706,0.05718393,6.724731,3.2763977,110,208,154.24625
