Frame,time,Pitch (rad),Yaw (rad),Pitch (deg),Yaw (deg),x_cordinate,y_cordinate,Distance (cm)
67,3.35,-0.024475783,-0.08074199,-1.402359,-4.626175,1363,980,81.92512
68,3.4,-0.028306741,-0.08486456,-1.6218567,-4.8623805,1377,994,82.044914
69,3.45,-0.023492279,-0.09035627,-1.3460083,-5.1770325,1360,1012,82.044914
70,3.5,-0.009856093,-0.110144615,-0.56471246,-6.310821,1313,1076,82.044914
71,3.55,-0.016129436,-0.10842181,-0.92414856,-6.212112,1335,1071,82.044914
72,3.6,-0.009436646,-0.10433174,-0.54067993,-5.977768,1312,1058,82.044914
73,3.65,-0.021885592,-0.11696444,-1.253952,-6.701568,1355,1099,82.08497
74,3.7,-0.017519338,-0.121639356,-1.0037841,-6.9694214,1340,1114,82.08497
75,3.75,0.022310898,-0.08737699,1.2783202,-5.0063324,1203,1002,82.08497
76,3.8,0.050394468,-0.04647855,2.8873901,-2.6630247,1107,870,82.044914
77,3.85,0.06411774,-0.063629046,3.6736755,-3.6456757,1059,925,82.08497
78,3.9,0.049483128,-0.06839104,2.8351743,-3.9185178,1110,941,82.044914
79,3.95,0.041922152,-0.03842036,2.4019623,-2.2013245,1136,844,82.044914
80,4.0,0.08034544,-0.037326332,4.603454,-2.138641,1003,840,82.08497
81,4.05,0.09209718,-0.04126222,5.276779,-2.364151,963,853,82.044914
82,4.1,0.083603285,-0.059103,4.7901154,-3.3863523,992,911,82.044914
83,4.15,0.060170133,-0.055368185,3.4474945,-3.172363,1066,904,84.73287
84,4.2,0.074439615,-0.08646245,4.2650757,-4.9539332,1016,1008,84.68882
85,4.25,0.08209407,-0.09368974,4.703644,-5.3680263,988,1033,84.68882
86,4.3,-0.09094323,-0.12709616,-5.2106633,-7.282073,1592,1132,82.044914
87,4.35,-0.14136566,-0.10373412,-8.099655,-5.9435267,1767,1056,82.044914
88,4.4,-0.16702548,-0.11435242,-9.569855,-6.551911,1857,1090,82.044914
89,4.45,-0.16658951,-0.12701868,-9.544875,-7.2776337,1874,1145,84.68882
90,4.5,-0.16842604,-0.1107385,-9.650101,-6.344848,1881,1090,84.68882
91,4.55,-0.16187014,-0.107651904,-9.274475,-6.1679993,1857,1080,84.68882
92,4.6,-0.1527259,-0.124991745,-8.750549,-7.161499,1824,1138,84.68882
93,4.65,-0.056926135,-0.1254538,-3.2616272,-7.187973,1481,1140,84.68882
94,4.7,-0.049063955,-0.119596176,-2.8111575,-6.852356,1453,1119,84.557076
95,4.75,-0.020895163,-0.13497487,-1.1972046,-7.73349,1351,1158,82.08497
96,4.8,-0.013907294,-0.12758113,-0.7968292,-7.30986,1327,1134,82.08497
97,4.85,-0.037616085,-0.12748046,-2.155243,-7.304092,1413,1147,84.68882
98,4.9,-0.006713563,-0.12660696,-0.3846588,-7.254044,1303,1130,82.044914
99,4.95,-0.020456007,-0.13535942,-1.1720428,-7.755523,1350,1159,82.044914
100,5.0,0.028969068,-0.09345245,1.6598053,-5.3544307,1180,1022,82.044914
101,5.05,0.046721432,-0.094637565,2.6769407,-5.422333,1119,1026,82.044914
102,5.1,0.0551048,-0.09363808,3.1572723,-5.3650665,1091,1023,82.044914
103,5.15,0.060655627,-0.10010104,3.4753113,-5.735367,1071,1044,82.044914
104,5.2,-0.0295286,-0.10682286,-1.691864,-6.1204987,1381,1065,81.92512
105,5.25,-0.11161574,-0.08474125,-6.3951106,-4.8553157,1663,993,81.92512
106,5.3,-0.1261526,-0.092561625,-7.2280116,-5.30339,1714,1019,82.044914
107,5.35,-0.11942786,-0.103314675,-6.842712,-5.9194946,1691,1054,82.044914
108,5.4,-0.122213535,-0.09826027,-7.0023193,-5.6298985,1700,1038,82.044914
109,5.45,-0.14590847,-0.0770378,-8.35994,-4.4139404,1799,977,84.68882
110,5.5,-0.05437616,-0.11969471,-3.1155243,-6.858001,1472,1120,84.68882
111,5.55,0.025376463,-0.13458471,1.4539641,-7.7111354,1193,1157,82.044914
112,5.6,0.0343641,-0.1374375,1.9689178,-7.874588,1162,1166,82.044914
113,5.65,0.019446136,-0.13602202,1.1141815,-7.793487,1213,1161,82.044914
114,5.7,0.034394994,-0.14207006,1.9706879,-8.140014,1162,1181,81.92512
115,5.75,0.02999332,-0.11607068,1.7184906,-6.6503596,1173,1108,84.68882
116,5.8,0.031717453,-0.11255345,1.8172761,-6.4488373,1171,1084,81.92512
117,5.85,0.028571457,-0.11743768,1.6370238,-6.728683,1178,1113,84.68882
118,5.9,0.025749307,-0.114508204,1.4753265,-6.5608363,1191,1091,82.044914
119,5.95,0.032771796,-0.13462307,1.8776855,-7.713333,1167,1157,82.044914
120,6.0,0.008713331,-0.128538,0.49923706,-7.3646846,1249,1150,84.68882
121,6.05,0.014115021,-0.13450749,0.8087311,-7.7067113,1230,1170,84.68882
122,6.1,0.016535034,-0.12741922,0.94738764,-7.300583,1223,1133,82.044914
123,6.15,0.029236982,-0.12449746,1.6751555,-7.1331787,1179,1123,82.044914
124,6.2,0.04858218,-0.11003969,2.7835538,-6.3048096,1113,1076,82.044914
125,6.25,-0.05274923,-0.1224351,-3.022308,-7.015014,1460,1117,82.08497
126,6.3,-0.14433588,-0.114173986,-8.269836,-6.541687,1778,1090,82.044914
127,6.35,-0.15923786,-0.10833899,-9.123657,-6.2073665,1830,1071,82.044914
128,6.4,-0.13041501,-0.122190095,-7.472229,-7.0009766,1729,1116,82.044914
129,6.45,-0.13047732,-0.11361951,-7.4757996,-6.5099177,1729,1088,82.044914
130,6.5,-0.14824034,-0.11863157,-8.493546,-6.797088,1791,1104,82.08497
131,6.55,-0.15111363,-0.113402195,-8.658173,-6.497467,1801,1087,82.044914
132,6.6,-0.13190638,-0.12921205,-7.557678,-7.4033046,1734,1139,82.044914
133,6.65,-0.13737758,-0.12334404,-7.871155,-7.0670924,1753,1120,82.044914
134,6.7,-0.0963846,-0.12538455,-5.5224304,-7.1840053,1611,1126,82.044914
135,6.75,-0.018074075,-0.1238402,-1.0355681,-7.0955205,1343,1134,84.68882
136,6.8,-0.013728863,-0.11847232,-0.78660583,-6.787964,1327,1104,82.044914
137,6.85,-0.012752548,-0.106005,-0.7306671,-6.0736384,1323,1063,82.044914
138,6.9,-0.074560255,-0.09687089,-4.271988,-5.550293,1535,1033,82.044914
139,6.95,-0.070326366,-0.085505314,-4.0294037,-4.899093,1521,996,82.08497
140,7.0,-0.06675853,-0.088566884,-3.8249817,-5.074508,1509,1006,82.08497
141,7.05,-0.068238705,-0.08918448,-3.9097896,-5.109894,1521,1017,84.68882
142,7.1,-0.07465959,-0.08223469,-4.2776794,-4.7117004,1544,994,84.68882
143,7.15,-0.09502825,-0.075441495,-5.4447174,-4.322479,1617,971,84.68882
144,7.2,-0.07495733,-0.07111865,-4.294739,-4.0747986,1536,949,81.92512
145,7.25,-0.04155996,-0.11770534,-2.3812103,-6.7440186,1427,1114,84.68882
146,7.3,0.0008689895,-0.15164678,0.04978943,-8.68872,1276,1229,84.68882
147,7.35,0.02162407,-0.15429316,1.2389679,-8.840346,1203,1238,84.68882
148,7.4,0.014762169,-0.15915024,0.84580994,-9.118637,1227,1254,84.68882
149,7.45,0.026430275,-0.15210645,1.5143431,-8.715057,1186,1230,84.68882
150,7.5,0.008664062,-0.14951359,0.49641418,-8.566497,1250,1206,82.044914
151,7.55,0.008121043,-0.13723856,0.46530148,-7.86319,1252,1165,82.044914
152,7.6,0.00056405755,-0.14025033,0.032318115,-8.035751,1278,1175,82.08497
153,7.65,0.0018093516,-0.13316897,0.103668205,-7.630019,1273,1166,84.68882
154,7.7,0.007551926,-0.1384977,0.43269348,-7.935333,1253,1184,84.68882
155,7.75,0.013156283,-0.14302108,0.75379944,-8.194504,1234,1184,82.044914
